time,pos_x,pos_y,pos_z,force_normal,is_contact
0.0,0.30701957005161035,-2.6377536518327582e-33,0.5902695582766444,0.0,0
0.010000000000000002,0.3072383288890912,2.3874377555266037e-08,0.590300827471776,0.0,0
0.02000000000000001,0.3078466895990586,7.099552389698439e-08,0.5903881343481421,0.0,0
0.03000000000000002,0.3088306894499546,1.2776627681415942e-07,0.5905312965538144,0.0,0
0.04000000000000003,0.31017359637624786,1.7758596090092754e-07,0.5907312347759087,0.0,0
0.05000000000000004,0.31185620191950125,2.1667429019090004e-07,0.5909897409674888,0.0,0
0.060000000000000046,0.31385711637072494,2.531809090390082e-07,0.5913092211756324,0.0,0
0.07000000000000005,0.3161530677875586,2.905558431462854e-07,0.5916924243031954,0.0,0
0.08000000000000006,0.31871920631665523,3.30359852491991e-07,0.5921421672413155,0.0,0
0.09000000000000007,0.32152941489538844,3.7353247038313285e-07,0.5926610662773388,0.0,0
0.10000000000000007,0.32455662646146505,4.2085029856758723e-07,0.5932512836162022,0.0,0
0.11000000000000008,0.32777314676311514,4.7310409007138924e-07,0.5939142967475357,0.0,0
0.12000000000000009,0.33115098076877464,5.311797026584346e-07,0.5946506971587455,0.0,0
0.1300000000000001,0.3346621596259224,5.961079021256199e-07,0.5954600235582244,0.0,0
0.1400000000000001,0.33827906421083886,6.585882829459699e-07,0.5963406334334507,0.0,0
0.1500000000000001,0.34197474052314164,7.117152408246483e-07,0.5972896150546215,0.0,0
0.16000000000000011,0.3457232018660766,7.657072268133725e-07,0.5983027408905504,0.0,0
0.17000000000000012,0.34949971241390765,8.25038516823219e-07,0.59937446224093,0.0,0
0.18000000000000013,0.35328104679788264,8.922266300538313e-07,0.6004979428836561,0.0,0
0.19000000000000014,0.35704572079536834,9.692987414460551e-07,0.6016651289705633,0.0,0
0.20000000000000015,0.36077418870917677,1.0583237890496896e-06,0.6028668512430609,0.0,0
0.21000000000000016,0.3644490037913236,1.1616205399026888e-06,0.6040929548474189,0.0,0
0.22000000000000017,0.3680549389868436,1.281850274395979e-06,0.6053324514434685,0.0,0
0.23000000000000018,0.3715790663039412,1.422063747320916e-06,0.6065736879275837,0.0,0
0.24000000000000019,0.3750107942097818,1.5857236428979129e-06,0.607804525931642,0.0,0
0.25000000000000017,0.378341863559721,1.776706773322084e-06,0.6090125263069955,0.0,0
0.2600000000000002,0.38156630364654165,1.9992845284792e-06,0.6101851330425369,0.0,0
0.2700000000000002,0.38468035096282654,2.2580787053868884e-06,0.6113098514791845,0.0,0
0.2800000000000002,0.38768233416541803,2.557990478165116e-06,0.6123744162448189,0.0,0
0.2900000000000002,0.39057252948254617,2.904102078266577e-06,0.6133669450147919,0.0,0
0.3000000000000002,0.39335299138488433,3.3015532731762736e-06,0.6142760749708152,0.0,0
0.3100000000000002,0.3960273637329317,3.755397555271253e-06,0.6150910796501399,0.0,0
0.32000000000000023,0.3986006768057164,4.270445651861551e-06,0.6158019647111828,0.0,0
0.33000000000000024,0.4010791356112506,4.8511060758581275e-06,0.6163995419558373,0.0,0
0.34000000000000025,0.40346990468923905,5.501233511657449e-06,0.616875481709973,0.0,0
0.35000000000000026,0.40578089426253844,6.223995634736592e-06,0.6172223443443321,0.0,0
0.36000000000000026,0.408020552104761,7.021767488853028e-06,0.617433592296525,0.0,0
0.3700000000000003,0.41019766490126364,7.896060017379931e-06,0.6175035844168508,0.0,0
0.3800000000000003,0.412321172226092,8.84748613517847e-06,0.6174275547995076,0.0,0
0.3900000000000003,0.414399995574032,9.875764334950656e-06,0.6172015784770419,0.0,0
0.4000000000000003,0.41644288420783565,1.0979756726178584e-05,0.6168225264565288,0.0,0
0.4100000000000003,0.4184582789339037,1.2157535991430824e-05,0.6162880125730161,0.0,0
0.4200000000000003,0.4204541943274545,1.3406474173308969e-05,0.615596334544734,0.0,0
0.4300000000000003,0.4224381194059874,1.472334550736419e-05,0.6147464114529716,0.0,0
0.44000000000000034,0.4244169363071503,1.6104435724793384e-05,0.6137377196554499,0.0,0
0.45000000000000034,0.42639685616748285,1.754565112029887e-05,0.6125702288929136,0.0,0
0.46000000000000035,0.428383371120912,1.9042621988388313e-05,0.6112443400805821,0.0,0
0.47000000000000036,0.43038122113551375,2.0590796513610935e-05,0.6097608260028657,0.0,0
0.48000000000000037,0.43239437427653243,2.2185522704799767e-05,0.6081207758629236,0.0,0
0.4900000000000004,0.43442601891398774,2.3822117321915817e-05,0.6063255443872579,0.0,0
0.5000000000000003,0.4364776751675375,2.5475297260442646e-05,0.6043759416712431,0.0,0
0.5100000000000003,0.43854117580770857,2.6927483389955425e-05,0.6022655209297247,0.0,0
0.5200000000000004,0.4406087643938764,2.8115078610470846e-05,0.5999895714126348,0.0,0
0.5300000000000004,0.44267747319123796,2.9120367066651115e-05,0.5975484309199618,0.0,0
0.5400000000000004,0.4447457297863067,3.0020053441247457e-05,0.5949442653020781,0.0,0
0.5500000000000004,0.4468121439364696,3.086243432237813e-05,0.59217991365768,0.0,0
0.5600000000000004,0.44887511148652015,3.1673816418640774e-05,0.5892584913233767,0.0,0
0.5700000000000004,0.45093269534431,3.246718209306837e-05,0.5861832473222369,0.0,0
0.5800000000000004,0.45298260079756125,3.324816343523478e-05,0.5829575086136579,0.0,0
0.5900000000000004,0.45502218329464694,3.4018514175116565e-05,0.5795846552909066,0.0,0
0.6000000000000004,0.4570484676090619,3.477798730637562e-05,0.5760681080485744,0.0,0
0.6100000000000004,0.4590581710816952,3.552531616057669e-05,0.5724113215865057,0.0,0
